Grey,Hits
0,1
1,0.016184529119408
2,0.0059895501465525
3,0.017458901491015
4,0.015037593984962
5,0.0043328660634635
6,0.011596788581623
7,0.016694278068051
8,0.0098126672613733
9,0.0070090480438381
10,0.014018096087676
11,0.011341914107302
12,0.012361412004587
13,0.010577290684337
14,0.0089206066012485
15,0.004970052249267
16,0.0057346756722312
17,0.0057346756722312
18,0.013126035427551
19,0.012616286478909
20,0.046387154326492
21,0.059258315279722
22,0.046132279852171
23,0.047661526698099
24,0.023575888874728
25,0.0030584936918566
26,0.0029310564546959
27,0.0042054288263029
28,0.0044603033006242
29,0
30,0.0029310564546959
31,0.0068816108066774
