Grey,Hits
0,1
1,0.021119842829075
2,0.016208251473477
3,0.021856581532415
4,0.011296660117878
5,0.0034381139489193
6,0.0066306483300586
7,0.0058939096267187
8,0.0019646365422396
9,0.0041748526522591
10,0.0031925343811393
11,0.0039292730844792
12,0.010068762278978
13,0.0085952848722982
14,0.0027013752455794
15,0.0027013752455794
16,0.004666011787819
17,0.00073673870333984
18,0.0081041257367383
19,0.009332023575638
20,0
21,0.011051080550098
22,0.0068762278978385
23,0.0031925343811393
24,0.0034381139489193
25,0.0066306483300586
26,0.0014734774066797
27,0.0063850687622786
28,0.0056483300589388
29,0.0024557956777995
30,0.012770137524557
31,0.020874263261296
