Grey,Hits
0,1
1,0.0058746736292432
2,0
3,0.0014686684073108
4,0.0031005221932117
5,0.00048955613577027
6,0.0047323759791126
7,0.0019582245430811
8,0.00016318537859009
9,0.0086488250652747
10,0.003590078328982
11,0
12,0.0062010443864234
13,0.0093015665796351
14,0.0083224543080945
15,0.015665796344649
16,0.015992167101829
17,0.0075065274151441
18,0.0181135770235
19,0.032147519582247
20,0.020724543080941
21,0.053851174934729
22,0.13120104438643
23,0.042265013054833
24,0.035900783289819
25,0.019419060052221
26,0.0083224543080945
27,0.01827676240209
28,0.045855091383815
29,0.056951697127941
30,0.19353785900785
31,0.36994125326373
