Grey,Hits
0,0.29124260355031
1,0.31798816568049
2,0.2239053254438
3,0.51479289940832
4,0.49538461538465
5,0.23360946745564
6,0.32260355029587
7,0.27585798816569
8,0.11739644970414
9,0.097396449704143
10,0.040591715976332
11,0.015739644970414
12,0.11727810650888
13,0.059289940828403
14,0
15,0.12745562130178
16,0.18319526627219
17,0.10295857988166
18,0.31230769230771
19,0.42544378698228
20,0.35136094674559
21,0.68177514792902
22,0.65278106508879
23,0.3158579881657
24,0.69266272189352
25,1
26,0.44047337278108
27,0.68000000000003
28,0.67644970414204
29,0.22899408284025
30,0.33881656804735
31,0.14497041420119
