Grey,Hits
0,0.34398034398034
1,0.3980343980344
2,0.3955773955774
3,1
4,0.72481572481573
5,0.31449631449631
6,0.35380835380835
7,0.28009828009828
8,0.056511056511057
9,0.23832923832924
10,0.34152334152334
11,0.21130221130221
12,0.45945945945946
13,0.3955773955774
14,0.17199017199017
15,0.32186732186732
16,0.34643734643735
17,0.25798525798526
18,0.47174447174447
19,0.48157248157248
20,0.15970515970516
21,0.41523341523342
22,0.31203931203931
23,0
24,0.10810810810811
25,0.13022113022113
26,0.0073710073710074
27,0.18427518427519
28,0.26781326781327
29,0.049140049140049
30,0.23341523341523
31,0.11056511056511
