Grey,Hits
0,0.44913667568129
1,0.49365508633243
2,0.22425629290618
3,0.5462866652798
4,0.54732681506137
5,0.26815061368838
6,0.56729769086749
7,0.77948824630748
8,0.42562929061786
9,0.87185354691077
10,0.84917828167258
11,0.49656750572084
12,0.91013105887249
13,1
14,0.53130850842522
15,0.83607239442482
16,0.79758685250678
17,0.43020594965677
18,0.74869981277305
19,0.71499895985023
20,0.32598294154359
21,0.47306012065737
22,0.27813605159142
23,0
24,0.093405450384851
25,0.11649677553567
26,0.012689827335136
27,0.24027459954232
28,0.31516538381526
29,0.1547742874974
30,0.45017682546286
31,0.21655918452257
