Grey,Hits
0,0.37129575828008
1,0.37381367422042
2,0.18070889018014
3,0.37846213441798
4,0.40112337788109
5,0.41739298857255
6,0.82490799922528
7,1
8,0.38369165214025
9,0.63800116211508
10,0.37148944412164
11,0.11291884563239
12,0.25295370908387
13,0.27077280650785
14,0.01007166376138
15,0.1985279876041
16,0.22293240364129
17,0
18,0.24714313383692
19,0.26263800116212
20,0.034088708115439
21,0.27096649234941
22,0.30524888630642
23,0.14158435018401
24,0.52624443153208
25,0.6422622506295
26,0.25469688165797
27,0.51985279876043
28,0.54135192717415
29,0.23707147007556
30,0.57892698043776
31,0.27193492155724
