Grey,Hits
0,0.22058823529412
1,0.14705882352941
2,0
3,0.32843137254902
4,0.65196078431372
5,0.29411764705882
6,0.84313725490196
7,0.74019607843137
8,0.3921568627451
9,0.74019607843137
10,0.81862745098039
11,0.51470588235294
12,0.8921568627451
13,1
14,0.41176470588235
15,0.69607843137255
16,0.49019607843137
17,0.14705882352941
18,0.32843137254902
19,0.1421568627451
20,0.019607843137255
21,0.25490196078431
22,0.50980392156863
23,0.13725490196078
24,0.26960784313725
25,0.25980392156863
26,0.068627450980392
27,0.22549019607843
28,0.25490196078431
29,0.093137254901961
30,0.30882352941176
31,0.034313725490196
