Grey,Hits
0,0.056818181818183
1,0.13257575757576
2,0
3,0.28409090909091
4,0.32575757575758
5,0.12878787878788
6,0.375
7,0.51136363636364
8,0.23484848484848
9,1
10,0.98106060606061
11,0.40530303030303
12,0.68560606060606
13,0.61742424242424
14,0.20833333333333
15,0.54924242424242
16,0.40151515151515
17,0.21590909090909
18,0.49621212121212
19,0.41287878787879
20,0.087121212121212
21,0.53409090909091
22,0.35227272727273
23,0.060606060606061
24,0.33333333333333
25,0.21212121212121
26,0.0037878787878788
27,0.17045454545455
28,0.36363636363636
29,0.083333333333333
30,0.39772727272727
31,0.090909090909091
