Grey,Hits
0,0.79475982532751
1,0
2,0.0021834061135371
3,0.0021834061135371
4,0.0065502183406113
5,0.0043668122270742
6,0.010917030567686
7,0.0087336244541484
8,0.0043668122270742
9,0.0021834061135371
10,0.017467248908297
11,0.01528384279476
12,0.026200873362445
13,0.010917030567686
14,0.0021834061135371
15,0.019650655021834
16,0.026200873362445
17,0.013100436681223
18,0.037117903930131
19,0.017467248908297
20,0.024017467248908
21,0.030567685589519
22,0.039301310043668
23,0.019650655021834
24,0.041484716157205
25,0.030567685589519
26,0.019650655021834
27,0.017467248908297
28,0.034934497816594
29,0.039301310043668
30,0.013100436681223
31,1
