Grey,Hits
0,1
1,0.051855617691916
2,0.075241484494153
3,0.0015251652262328
4,0.082358922216573
5,0.041687849517031
6,0.00050838840874428
7,0.061006609049313
8,0.02491103202847
9,0.024402643619725
10,0.00050838840874428
11,0.041179461108286
12,0.045246568378241
13,0.054905948144382
14,0.051347229283172
15,0.08083375699034
16,0.013726487036095
17,0.078800203355363
18,0.13167259786477
19,0.028469750889679
20,0.005592272496187
21,0.0015251652262328
22,0.0061006609049313
23,0.12658871377732
24,0.098118962887645
25,0.059989832231825
26,0
27,0.20081342145399
28,0.065073716319267
29,0.034062023385867
30,0.031520081342145
31,0.0010167768174886
