Grey,Hits
0,1
1,0.097560975609759
2,0.016087182148418
3,0.026466009340945
4,0.016606123508044
5,0.015049299429165
6,0.022833419823561
7,0.028022833419824
8,0.008303061754022
9,0.022833419823561
10,0.012454592631033
11,0.0062272963155165
12,0
13,0.026466009340945
14,0.0015568240788791
15,0.014011416709912
16,0.01141670991178
17,0.0046704722366374
18,0.010897768552154
19,0.012973533990659
20,0.0025947067981319
21,0.0062272963155165
22,0.01141670991178
23,0.0072651790347693
24,0.0062272963155165
25,0.0088220031136484
26,0.0051894135962638
27,0.012973533990659
28,0.014011416709912
29,0.0088220031136484
30,0.051894135962638
31,0.12921639854697
