Grey,Hits
0,0.78563596491228
1,0
2,0.0005482456140351
3,0.0032894736842106
4,0.0021929824561404
5,0.0032894736842106
6,0.0016447368421053
7,0.005482456140351
8,0.0049342105263159
9,0.012061403508772
10,0.036732456140352
11,0.012061403508772
12,0.037828947368422
13,0.023574561403509
14,0.0076754385964914
15,0.015350877192983
16,0.0065789473684212
17,0.015899122807018
18,0.018640350877193
19,0.014802631578948
20,0.0043859649122808
21,0.012061403508772
22,0.02686403508772
23,0.023574561403509
24,0.029605263157895
25,0.020285087719299
26,0.012609649122807
27,0.028508771929825
28,0.05482456140351
29,0.072368421052633
30,0.45010964912282
31,1
