Grey,Hits
0,1
1,0.012474012474012
2,0.0090090090090088
3,0.012474012474012
4,0.0048510048510048
5,0.023562023562023
6,0.033264033264033
7,0.15384615384615
8,0.0062370062370061
9,0.0048510048510048
10,0.018018018018018
11,0.0062370062370061
12,0.0090090090090088
13,0.01039501039501
14,0
15,0.0048510048510048
16,0.011088011088011
17,0.0041580041580041
18,0.011088011088011
19,0.011088011088011
20,0.01039501039501
21,0.013860013860014
22,0.0062370062370061
23,0.0097020097020095
24,0.0076230076230075
25,0.0013860013860014
26,0.0034650034650034
27,0.0069300069300068
28,0.0083160083160082
29,0.0083160083160082
30,0.017325017325017
31,0.015939015939016
