Grey,Hits
0,1
1,0.030497102775236
2,0.018603232692894
3,0.019518145776151
4,0.01677340652638
5,0.010064043915828
6,0.0054894784995425
7,0.017993290637389
8,0.011283928026837
9,0.012808783165599
10,0.011893870082342
11,0.0079292467215614
12,0.01036901494358
13,0.0094541018603232
14,0.0057944495272949
15,0.014028667276609
16,0.022262885025922
17,0.006709362610552
18,0.010673985971333
19,0.024702653247941
20,0.014638609332113
21,0.045745654162854
22,0.017078377554132
23,0.0024397682220189
24,0.014333638304361
25,0.0085391887770661
26,0.0018298261665142
27,0.0070143336383043
28,0.0027447392497713
29,0.0024397682220189
30,0.0021347971942665
31,0
