Grey,Hits
0,0.09099662975446
1,0.00962927298989
2,0.007703418391912
3,0.012758786711604
4,0.008666345690901
5,0.020943668753011
6,1
7,0.015888300433318
8,0.017573423206549
9,0.023350987000483
10,0.023350987000483
11,0.011795859412615
12,0.01227732306211
13,0.016851227732307
14,0.011795859412615
15,0.014925373134329
16,0.0050553683196922
17,0.003851709195956
18,0.0093885411651427
19,0.0081848820414065
20,0.0040924410207032
21,0.011555127587868
22,0.0098700048146372
23,0.002888781896967
24,0.0081848820414065
25,0.0069812229176702
26,0.001925854597978
27,0.016851227732307
28,0.0014443909484835
29,0.017091959557055
30,0
31,0.015406836783824
