Grey,Hits
0,0.23863636363636
1,0.068181818181818
2,0
3,0.071428571428572
4,0.058441558441559
5,0.071428571428572
6,0.22564935064935
7,0.18831168831169
8,0.086038961038961
9,0.1525974025974
10,0.19155844155844
11,0.094155844155844
12,0.21266233766234
13,0.2012987012987
14,0.22727272727273
15,0.34090909090909
16,0.30519480519481
17,0.081168831168831
18,0.15746753246753
19,0.17857142857143
20,0.11038961038961
21,0.18506493506494
22,0.19967532467533
23,0.13311688311688
24,0.29545454545455
25,0.23051948051948
26,0.14285714285714
27,0.28571428571429
28,0.42857142857143
29,0.48051948051948
30,1
31,0.71428571428572
