filename,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_sum,feature_class
1.jpg,0.25412541254125,0.29042904290429,0.023102310231023,0.40594059405941,0.26732673267327,0.023102310231023,0.28382838283828,0.31353135313531,0.01980198019802,0.25412541254125,0.28382838283828,0.056105610561056,0.18811881188119,0.19141914191419,0,0.34983498349835,0.33663366336634,0.16831683168317,0.41254125412541,0.37293729372937,0.13861386138614,0.43894389438944,0.48844884488449,0.14191419141914,0.76897689768977,1,0.38943894389439,0.33333333333333,0.64356435643564,0.13531353135314,0.62046204620462,0.095709570957096,9.6897689768977,999
2.jpg,0.39393939393939,0.84511784511785,0.43771043771044,0.70707070707071,0.61952861952862,0.36026936026936,0.8013468013468,0.79461279461279,0.50841750841751,0.94949494949495,1,0.46801346801347,0.77441077441077,0.68350168350168,0.41750841750842,0.67340067340067,0.57912457912458,0.3030303030303,0.58585858585859,0.64309764309764,0.24915824915825,0.51515151515152,0.43771043771044,0.13804713804714,0.15824915824916,0.17508417508418,0,0.16835016835017,0.46127946127946,0.30976430976431,0.52188552188552,0.13131313131313,15.811447811448,999
20190325_130847_1553482504.jpg,0.68846153846154,0.75384615384615,0.26923076923077,0.58076923076923,0.46153846153846,0.18076923076923,0.30384615384615,0.46153846153846,0.15384615384615,0.45384615384615,0.41923076923077,0.13846153846154,0.39230769230769,0.43846153846154,0.061538461538462,0.40384615384615,0.45384615384615,0.13461538461538,0.34615384615385,0.43461538461539,0,0.17692307692308,0.27692307692308,0,0.39230769230769,0.70384615384615,0.28846153846154,1,0.84230769230769,0.23076923076923,0.75,0.26923076923077,12.461538461538,999
add-more (2).jpg,0.52422907488987,0.18942731277533,0,0.29955947136564,0.34361233480176,0.070484581497797,0.64757709251101,0.72246696035242,0.30396475770925,0.66519823788546,0.68722466960353,0.18061674008811,0.61233480176212,0.58590308370044,0.25550660792952,0.89427312775331,0.93832599118943,0.45814977973568,0.91629955947137,0.91189427312775,0.3568281938326,0.63876651982379,0.59471365638767,0.30837004405286,0.69162995594714,0.36123348017621,0.13656387665198,0.46696035242291,0.4625550660793,0.083700440528634,0.3920704845815,1,15.700440528634,999
add-more (3).jpg,0.35869565217391,0.18115942028986,0,0.18115942028986,0.28260869565217,0.10144927536232,0.42753623188406,0.53260869565217,0.17391304347826,0.47101449275362,0.46376811594203,0.19202898550725,0.75,0.88768115942029,0.40942028985507,0.7536231884058,1,0.56159420289855,0.84420289855072,0.58333333333333,0.15217391304348,0.42753623188406,0.5,0.23188405797101,0.34782608695652,0.38405797101449,0.018115942028985,0.31884057971015,0.25,0.11231884057971,0.42753623188406,0.70289855072464,13.028985507246,999
add-more (4).jpg,0.364896073903,0.34411085450347,0.12009237875289,0.29330254041571,0.27944572748268,0.057736720554273,0.17551963048499,0.1431870669746,0,0.073903002309469,0.078521939953811,0.0092378752886836,0.11778290993072,0.19399538106236,0.073903002309469,0.19168591224019,0.34180138568129,0.18937644341801,0.37644341801386,0.55427251732102,0.27713625866051,0.79214780600462,0.82217090069284,0.68591224018476,0.97921478060046,1,0.43879907621247,0.80369515011547,0.59353348729792,0.33025404157044,0.50577367205543,0.20092378752887,11.408775981524,999
add-more-2 (2).jpg,0.1497461928934,0.19796954314721,0.086294416243655,0.18274111675127,0.21065989847716,0.065989847715736,0.47715736040609,0.54822335025381,0.26649746192893,0.61421319796954,0.80203045685279,0.35279187817259,0.5761421319797,0.90609137055838,0.68781725888325,0.99492385786802,1,0.48984771573604,0.85279187817259,0.58629441624366,0.21573604060914,0.33756345177665,0.2994923857868,0.16497461928934,0.22335025380711,0.31979695431472,0.22842639593909,0.42131979695432,0.26395939086295,0,0.14467005076142,0.032994923857868,12.700507614213,999
add-more-2 (3).jpg,0.316,0.216,0,0.2,0.32,0.076,0.208,0.2,0.3,0.588,0.712,0.232,0.8,0.972,0.472,1,0.876,0.388,0.844,0.86,0.344,0.708,0.756,0.332,0.56,0.6,0.264,0.62,0.6,0.328,0.86,0.624,16.176,999
add-more-2 (4).jpg,0.12483039348711,0.69199457259159,0.83175033921303,1,0.74626865671642,0.32293080054274,0.38127544097693,0.32835820895522,0.17367706919946,0.29443690637721,0.25101763907734,0.10312075983718,0.20081411126187,0.32564450474898,0.27951153324288,0.42198100407056,0.27679782903664,0.1438263229308,0.25644504748982,0.29036635006784,0.21709633649932,0.20759837177748,0.13161465400271,0.013568521031208,0.037991858887381,0.023066485753053,0.018995929443691,0,0.025780189959295,0,0.10719131614654,0.12483039348711,8.3527815468114,999
add-more-2.jpg,0.22058823529412,0.14705882352941,0,0.32843137254902,0.65196078431372,0.29411764705882,0.84313725490196,0.74019607843137,0.3921568627451,0.74019607843137,0.81862745098039,0.51470588235294,0.8921568627451,1,0.41176470588235,0.69607843137255,0.49019607843137,0.14705882352941,0.32843137254902,0.1421568627451,0.019607843137255,0.25490196078431,0.50980392156863,0.13725490196078,0.26960784313725,0.25980392156863,0.068627450980392,0.22549019607843,0.25490196078431,0.093137254901961,0.30882352941176,0.034313725490196,12.235294117647,999
